model,iteration,inference_ms
RPS_PreTrained_SSD.tflite,0,71.63377899996703
RPS_PreTrained_SSD.tflite,1,71.06918899989978
RPS_PreTrained_SSD.tflite,2,72.03970299997309
RPS_PreTrained_SSD.tflite,3,72.02066500030924
RPS_PreTrained_SSD.tflite,4,71.07722599903354
RPS_PreTrained_SSD.tflite,5,69.92587999957323
RPS_PreTrained_SSD.tflite,6,69.87134299924946
RPS_PreTrained_SSD.tflite,7,69.88819500111276
RPS_PreTrained_SSD.tflite,8,69.87497199952486
RPS_PreTrained_SSD.tflite,9,69.78662100118527
RPS_PreTrained_SSD.tflite,10,70.01145300091594
RPS_PreTrained_SSD.tflite,11,69.81843600078719
RPS_PreTrained_SSD.tflite,12,69.66025099973194
RPS_PreTrained_SSD.tflite,13,69.79367699932482
RPS_PreTrained_SSD.tflite,14,69.74515799993242
RPS_PreTrained_SSD.tflite,15,69.8449730007269
RPS_PreTrained_SSD.tflite,16,70.0676750002458
RPS_PreTrained_SSD.tflite,17,70.01295299960475
RPS_PreTrained_SSD.tflite,18,69.98869400013064
RPS_PreTrained_SSD.tflite,19,70.60191299933649
RPS_PreTrained_SSD.tflite,20,71.6315379995649
RPS_PreTrained_SSD.tflite,21,71.18703999913123
RPS_PreTrained_SSD.tflite,22,71.35146600012376
RPS_PreTrained_SSD.tflite,23,71.29626099958841
RPS_PreTrained_SSD.tflite,24,70.36580400017556
RPS_PreTrained_SSD.tflite,25,71.6561310000543
RPS_PreTrained_SSD.tflite,26,71.75503799953731
RPS_PreTrained_SSD.tflite,27,71.46120600009453
RPS_PreTrained_SSD.tflite,28,70.92248600019957
RPS_PreTrained_SSD.tflite,29,71.23348500135762
RPS_PreTrained_SSD.tflite,30,71.05105899972841
RPS_PreTrained_SSD.tflite,31,70.87868999951752
RPS_PreTrained_SSD.tflite,32,71.07968899981643
RPS_PreTrained_SSD.tflite,33,69.9578420008038
RPS_PreTrained_SSD.tflite,34,69.6826580006018
RPS_PreTrained_SSD.tflite,35,69.97374999991735
RPS_PreTrained_SSD.tflite,36,69.98467499943217
RPS_PreTrained_SSD.tflite,37,69.94223100082309
RPS_PreTrained_SSD.tflite,38,69.70060200001171
RPS_PreTrained_SSD.tflite,39,69.7094549996109
RPS_PreTrained_SSD.tflite,40,69.73264000043855
RPS_PreTrained_SSD.tflite,41,69.973896999727
RPS_PreTrained_SSD.tflite,42,69.69119600034901
RPS_PreTrained_SSD.tflite,43,69.86034299916355
RPS_PreTrained_SSD.tflite,44,69.86871300068742
RPS_PreTrained_SSD.tflite,45,69.7807130000001
RPS_PreTrained_SSD.tflite,46,69.9134349997621
RPS_PreTrained_SSD.tflite,47,69.66558400017675
RPS_PreTrained_SSD.tflite,48,69.90591599969775
RPS_PreTrained_SSD.tflite,49,69.90984200092498
RPS_PreTrained_SSD.tflite,50,69.83824999952049
RPS_PreTrained_SSD.tflite,51,69.8536759991839
RPS_PreTrained_SSD.tflite,52,70.14743399849976
RPS_PreTrained_SSD.tflite,53,69.3460309994407
RPS_PreTrained_SSD.tflite,54,69.77330599875131
RPS_PreTrained_SSD.tflite,55,69.59339899913175
RPS_PreTrained_SSD.tflite,56,69.84838000062155
RPS_PreTrained_SSD.tflite,57,69.73313999878883
RPS_PreTrained_SSD.tflite,58,69.7448800001439
RPS_PreTrained_SSD.tflite,59,70.08017500083952
RPS_PreTrained_SSD.tflite,60,69.86724999842409
RPS_PreTrained_SSD.tflite,61,70.61217199952807
RPS_PreTrained_SSD.tflite,62,69.5521590005228
RPS_PreTrained_SSD.tflite,63,69.35845599946333
RPS_PreTrained_SSD.tflite,64,69.68817699998908
RPS_PreTrained_SSD.tflite,65,69.9309159990662
RPS_PreTrained_SSD.tflite,66,69.94667499930074
RPS_PreTrained_SSD.tflite,67,69.53421499929391
RPS_PreTrained_SSD.tflite,68,69.82778800011147
RPS_PreTrained_SSD.tflite,69,69.83462099924509
RPS_PreTrained_SSD.tflite,70,69.94884199957596
RPS_PreTrained_SSD.tflite,71,69.65032500011148
RPS_PreTrained_SSD.tflite,72,69.80754700089165
RPS_PreTrained_SSD.tflite,73,69.92323200029205
RPS_PreTrained_SSD.tflite,74,69.87878700056172
RPS_PreTrained_SSD.tflite,75,69.98141600161034
RPS_PreTrained_SSD.tflite,76,69.92932400135032
RPS_PreTrained_SSD.tflite,77,69.72210300045845
RPS_PreTrained_SSD.tflite,78,69.58699200004048
RPS_PreTrained_SSD.tflite,79,70.04569399941829
RPS_PreTrained_SSD.tflite,80,69.85758300106681
RPS_PreTrained_SSD.tflite,81,69.35756699931517
RPS_PreTrained_SSD.tflite,82,69.72776899965538
RPS_PreTrained_SSD.tflite,83,69.76741699872946
RPS_PreTrained_SSD.tflite,84,69.78317600078299
RPS_PreTrained_SSD.tflite,85,69.50088099983986
RPS_PreTrained_SSD.tflite,86,69.77508400086663
RPS_PreTrained_SSD.tflite,87,69.8825460003718
RPS_PreTrained_SSD.tflite,88,69.39716000124463
RPS_PreTrained_SSD.tflite,89,69.97617600063677
RPS_PreTrained_SSD.tflite,90,69.90713800041704
RPS_PreTrained_SSD.tflite,91,69.5367329990404
RPS_PreTrained_SSD.tflite,92,69.88106500102731
RPS_PreTrained_SSD.tflite,93,69.8341019997315
RPS_PreTrained_SSD.tflite,94,69.76815800044278
RPS_PreTrained_SSD.tflite,95,70.08111999857647
RPS_PreTrained_SSD.tflite,96,69.6549549993506
RPS_PreTrained_SSD.tflite,97,69.76793600006204
RPS_PreTrained_SSD.tflite,98,69.54273300107161
RPS_PreTrained_SSD.tflite,99,69.61980699998094
rps_ssd_lite_fp32.tflite,0,2.181859999836888
rps_ssd_lite_fp32.tflite,1,1.953638000486535
rps_ssd_lite_fp32.tflite,2,1.5494929994019913
rps_ssd_lite_fp32.tflite,3,2.0373050010675797
rps_ssd_lite_fp32.tflite,4,1.5140670002438128
rps_ssd_lite_fp32.tflite,5,1.428919000318274
rps_ssd_lite_fp32.tflite,6,2.0844339996983763
rps_ssd_lite_fp32.tflite,7,1.4257340008043684
rps_ssd_lite_fp32.tflite,8,2.0387300010042964
rps_ssd_lite_fp32.tflite,9,1.4358630014612572
rps_ssd_lite_fp32.tflite,10,1.5035480009828461
rps_ssd_lite_fp32.tflite,11,1.538177000838914
rps_ssd_lite_fp32.tflite,12,1.44706699938979
rps_ssd_lite_fp32.tflite,13,2.0389339988469146
rps_ssd_lite_fp32.tflite,14,1.4302889994723955
rps_ssd_lite_fp32.tflite,15,1.3856969999324065
rps_ssd_lite_fp32.tflite,16,2.042823000010685
rps_ssd_lite_fp32.tflite,17,1.4405109996005194
rps_ssd_lite_fp32.tflite,18,2.0390829995449167
rps_ssd_lite_fp32.tflite,19,1.557658999445266
rps_ssd_lite_fp32.tflite,20,2.027026999712689
rps_ssd_lite_fp32.tflite,21,1.7842689994722605
rps_ssd_lite_fp32.tflite,22,1.6013069998734863
rps_ssd_lite_fp32.tflite,23,1.0970690000249306
rps_ssd_lite_fp32.tflite,24,1.1757909996958915
rps_ssd_lite_fp32.tflite,25,1.160771998911514
rps_ssd_lite_fp32.tflite,26,1.5808440002729185
rps_ssd_lite_fp32.tflite,27,1.6056579988799058
rps_ssd_lite_fp32.tflite,28,1.2162160001025768
rps_ssd_lite_fp32.tflite,29,1.6064920000644634
rps_ssd_lite_fp32.tflite,30,1.6482319988426752
rps_ssd_lite_fp32.tflite,31,1.6342700000677723
rps_ssd_lite_fp32.tflite,32,1.210678999996162
rps_ssd_lite_fp32.tflite,33,1.0978279988194117
rps_ssd_lite_fp32.tflite,34,1.625324999622535
rps_ssd_lite_fp32.tflite,35,1.1319940003886586
rps_ssd_lite_fp32.tflite,36,1.5378440002677962
rps_ssd_lite_fp32.tflite,37,1.6167700014193542
rps_ssd_lite_fp32.tflite,38,1.1265869998169364
rps_ssd_lite_fp32.tflite,39,1.606103000085568
rps_ssd_lite_fp32.tflite,40,1.7071950005629333
rps_ssd_lite_fp32.tflite,41,1.2412899995979387
rps_ssd_lite_fp32.tflite,42,1.21447600031388
rps_ssd_lite_fp32.tflite,43,1.6089920009108027
rps_ssd_lite_fp32.tflite,44,1.0979569997289218
rps_ssd_lite_fp32.tflite,45,1.5746040007798001
rps_ssd_lite_fp32.tflite,46,1.2077350002073217
rps_ssd_lite_fp32.tflite,47,1.8193799987784587
rps_ssd_lite_fp32.tflite,48,1.5012710009614239
rps_ssd_lite_fp32.tflite,49,1.4175670003169216
rps_ssd_lite_fp32.tflite,50,1.87608300075226
rps_ssd_lite_fp32.tflite,51,1.5165479999268427
rps_ssd_lite_fp32.tflite,52,1.5881960007391172
rps_ssd_lite_fp32.tflite,53,1.566566999827046
rps_ssd_lite_fp32.tflite,54,1.503176999904099
rps_ssd_lite_fp32.tflite,55,1.3461599992297124
rps_ssd_lite_fp32.tflite,56,1.870712998425006
rps_ssd_lite_fp32.tflite,57,1.8745100005617132
rps_ssd_lite_fp32.tflite,58,1.7587689999345457
rps_ssd_lite_fp32.tflite,59,1.3378820003708825
rps_ssd_lite_fp32.tflite,60,1.89617500109307
rps_ssd_lite_fp32.tflite,61,1.3176229986129329
rps_ssd_lite_fp32.tflite,62,1.4099749987508403
rps_ssd_lite_fp32.tflite,63,1.737231999868527
rps_ssd_lite_fp32.tflite,64,1.8159920000471175
rps_ssd_lite_fp32.tflite,65,1.792138999007875
rps_ssd_lite_fp32.tflite,66,1.7511030000605388
rps_ssd_lite_fp32.tflite,67,2.3397659988404484
rps_ssd_lite_fp32.tflite,68,1.2936790008097887
rps_ssd_lite_fp32.tflite,69,1.88202800018189
rps_ssd_lite_fp32.tflite,70,1.8761210012598895
rps_ssd_lite_fp32.tflite,71,1.455400999475387
rps_ssd_lite_fp32.tflite,72,1.8103429993061582
rps_ssd_lite_fp32.tflite,73,1.615732000573189
rps_ssd_lite_fp32.tflite,74,1.6128070001286687
rps_ssd_lite_fp32.tflite,75,1.1281979986961232
rps_ssd_lite_fp32.tflite,76,1.789418000043952
rps_ssd_lite_fp32.tflite,77,1.4434740005526692
rps_ssd_lite_fp32.tflite,78,1.1694759996316861
rps_ssd_lite_fp32.tflite,79,1.3332520011317683
rps_ssd_lite_fp32.tflite,80,1.4714560002175858
rps_ssd_lite_fp32.tflite,81,1.4786589999857824
rps_ssd_lite_fp32.tflite,82,1.4430859991989564
rps_ssd_lite_fp32.tflite,83,1.5006779995019315
rps_ssd_lite_fp32.tflite,84,1.295901000048616
rps_ssd_lite_fp32.tflite,85,1.2738639998133294
rps_ssd_lite_fp32.tflite,86,1.5608260000590235
rps_ssd_lite_fp32.tflite,87,1.2035689996992005
rps_ssd_lite_fp32.tflite,88,1.5109180003491929
rps_ssd_lite_fp32.tflite,89,1.85862000034831
rps_ssd_lite_fp32.tflite,90,1.845176000642823
rps_ssd_lite_fp32.tflite,91,1.5086029998201411
rps_ssd_lite_fp32.tflite,92,1.4993439999670954
rps_ssd_lite_fp32.tflite,93,1.4199379984347615
rps_ssd_lite_fp32.tflite,94,1.514937001047656
rps_ssd_lite_fp32.tflite,95,1.2202899997646455
rps_ssd_lite_fp32.tflite,96,1.4836219997960143
rps_ssd_lite_fp32.tflite,97,1.8443419994582655
rps_ssd_lite_fp32.tflite,98,1.385659999868949
rps_ssd_lite_fp32.tflite,99,1.501232998634805
rps_ssd_lite_int8.tflite,0,2.0922120002069278
rps_ssd_lite_int8.tflite,1,2.0270090008125408
rps_ssd_lite_int8.tflite,2,2.0348600010038354
rps_ssd_lite_int8.tflite,3,2.0217490000504768
rps_ssd_lite_int8.tflite,4,2.028990000326303
rps_ssd_lite_int8.tflite,5,2.0194159988022875
rps_ssd_lite_int8.tflite,6,2.0262870002625277
rps_ssd_lite_int8.tflite,7,2.021378000790719
rps_ssd_lite_int8.tflite,8,2.027972001087619
rps_ssd_lite_int8.tflite,9,2.020638001340558
rps_ssd_lite_int8.tflite,10,2.050064000286511
rps_ssd_lite_int8.tflite,11,2.0439529998839134
rps_ssd_lite_int8.tflite,12,2.02578700009326
rps_ssd_lite_int8.tflite,13,2.030618999924627
rps_ssd_lite_int8.tflite,14,2.020007999817608
rps_ssd_lite_int8.tflite,15,2.02500899831648
rps_ssd_lite_int8.tflite,16,2.020026999161928
rps_ssd_lite_int8.tflite,17,2.0338979993539397
rps_ssd_lite_int8.tflite,18,2.03134100047464
rps_ssd_lite_int8.tflite,19,2.030563999142032
rps_ssd_lite_int8.tflite,20,2.1003969995945226
rps_ssd_lite_int8.tflite,21,2.034044999163598
rps_ssd_lite_int8.tflite,22,2.0446939997782465
rps_ssd_lite_int8.tflite,23,2.0223969986545853
rps_ssd_lite_int8.tflite,24,2.0306749993324047
rps_ssd_lite_int8.tflite,25,2.0208239984640386
rps_ssd_lite_int8.tflite,26,2.0283049998397473
rps_ssd_lite_int8.tflite,27,2.020081999944523
rps_ssd_lite_int8.tflite,28,2.0321190004324308
rps_ssd_lite_int8.tflite,29,2.023230999839143
rps_ssd_lite_int8.tflite,30,2.0591199991031317
rps_ssd_lite_int8.tflite,31,2.04010100060259
rps_ssd_lite_int8.tflite,32,2.023971999733476
rps_ssd_lite_int8.tflite,33,2.081359998555854
rps_ssd_lite_int8.tflite,34,1.6101220007840311
rps_ssd_lite_int8.tflite,35,1.281216000279528
rps_ssd_lite_int8.tflite,36,1.2659010008064797
rps_ssd_lite_int8.tflite,37,1.2644750004255911
rps_ssd_lite_int8.tflite,38,1.2734569991152966
rps_ssd_lite_int8.tflite,39,1.264178999917931
rps_ssd_lite_int8.tflite,40,1.3044749994151061
rps_ssd_lite_int8.tflite,41,1.2703079992206767
rps_ssd_lite_int8.tflite,42,1.2657530005526496
rps_ssd_lite_int8.tflite,43,1.2710310002148617
rps_ssd_lite_int8.tflite,44,1.2659759995585773
rps_ssd_lite_int8.tflite,45,1.2630490000447026
rps_ssd_lite_int8.tflite,46,1.2711230010609142
rps_ssd_lite_int8.tflite,47,1.265492999664275
rps_ssd_lite_int8.tflite,48,1.2639940014196327
rps_ssd_lite_int8.tflite,49,1.2684390003414592
rps_ssd_lite_int8.tflite,50,1.2897340002382407
rps_ssd_lite_int8.tflite,51,1.2877529989054892
rps_ssd_lite_int8.tflite,52,1.2676419992203591
rps_ssd_lite_int8.tflite,53,1.2643640002352186
rps_ssd_lite_int8.tflite,54,1.2698450009338558
rps_ssd_lite_int8.tflite,55,1.266233999558608
rps_ssd_lite_int8.tflite,56,1.2645679998968262
rps_ssd_lite_int8.tflite,57,1.2697900001512608
rps_ssd_lite_int8.tflite,58,1.2640130007639527
rps_ssd_lite_int8.tflite,59,1.2631419995159376
rps_ssd_lite_int8.tflite,60,1.2924189995828783
rps_ssd_lite_int8.tflite,61,1.2695500008703675
rps_ssd_lite_int8.tflite,62,1.2749010002153227
rps_ssd_lite_int8.tflite,63,1.2656979997700546
rps_ssd_lite_int8.tflite,64,1.2642900001083035
rps_ssd_lite_int8.tflite,65,1.2757530003000284
rps_ssd_lite_int8.tflite,66,1.2643640002352186
rps_ssd_lite_int8.tflite,67,1.2642900001083035
rps_ssd_lite_int8.tflite,68,1.269456999580143
rps_ssd_lite_int8.tflite,69,1.264178999917931
rps_ssd_lite_int8.tflite,70,1.3104930003464688
rps_ssd_lite_int8.tflite,71,1.271401000849437
rps_ssd_lite_int8.tflite,72,1.2672160009969957
rps_ssd_lite_int8.tflite,73,1.2751049998769304
rps_ssd_lite_int8.tflite,74,1.2649759992200416
rps_ssd_lite_int8.tflite,75,1.2645309998333687
rps_ssd_lite_int8.tflite,76,1.2707349997072015
rps_ssd_lite_int8.tflite,77,1.2645679998968262
rps_ssd_lite_int8.tflite,78,1.2639939996006433
rps_ssd_lite_int8.tflite,79,1.2695490004261956
rps_ssd_lite_int8.tflite,80,1.2932710014865734
rps_ssd_lite_int8.tflite,81,1.2806239992642077
rps_ssd_lite_int8.tflite,82,1.2671610002144007
rps_ssd_lite_int8.tflite,83,1.2640859986277064
rps_ssd_lite_int8.tflite,84,1.268771000468405
rps_ssd_lite_int8.tflite,85,1.2642159999813884
rps_ssd_lite_int8.tflite,86,1.264122998691164
rps_ssd_lite_int8.tflite,87,1.2746039992634906
rps_ssd_lite_int8.tflite,88,1.2636970004678005
rps_ssd_lite_int8.tflite,89,1.2640309996641008
rps_ssd_lite_int8.tflite,90,1.2948639996466227
rps_ssd_lite_int8.tflite,91,1.2705869994533714
rps_ssd_lite_int8.tflite,92,1.2843269996665185
rps_ssd_lite_int8.tflite,93,1.266938001208473
rps_ssd_lite_int8.tflite,94,1.2640860004466958
rps_ssd_lite_int8.tflite,95,1.2704380005743587
rps_ssd_lite_int8.tflite,96,1.2633820006158203
rps_ssd_lite_int8.tflite,97,1.2638459993468132
rps_ssd_lite_int8.tflite,98,1.2712339994322974
rps_ssd_lite_int8.tflite,99,1.264234000700526
